,data_clean,created_at,location,sentimen
0,alir dana ilegal capai gdp global,2020-01-21,"Jakarta Capital Region, Indone",Positif
1,alir dana ilegal lintas negara capai gdp global,2020-01-21,,Positif
2,alir dana ilegal lintas negara capai gdp global,2020-01-21,,Positif
3,think usul negaranegara hapus belanja paja dorong alir dana ilegal lintas negara yuk baca lanjut berita,2020-09-14,"Jakarta, Indonesia",Positif
4,iniii alat hayooomau perang sapa sih total uang pakai mentungin tuntut adil rupiah miliar,2020-10-08,,Negatif
5,guyssss ada transaksi uang haram disembunyiin dunia here is your baru from to,2020-09-23,,Negatif
6,beda jaman ahok ada dana wajib setor kembang nila total triliun ada suap dewan wakil rakyat daerah daerah khusus ibukota kembang bayar sebab adik taufik tangkap komisi berantas korupsi anies izin mana dana,2020-07-12,Indonesia 🇮🇩,Negatif
7,ppatk komisi pemelihan umum badan awas pilih umum pelotot alir dana ilegal pilih kepala daerah,2020-08-19,"GRAHA PENA, Jl. Malik Raya 50.",Positif
8,majelis ulama indonesia sarang koruptor korupsi jahat extraordinary crime jahat rampok curi uang hasil pungut sertifikasi halal capai mana uang haram makan tzul dan kawan kawan din syansudin,2020-07-30,"Kota Malang, Jawa Timur",Negatif
9,bahas coba tipu kadang sekali boongnya anak tangkap narkoba ayah masuk rumah sakit menang hadiah juta pakai bahasa kacau mudah deteksi taktik,2020-07-30,"Jakarta Capital Region, Indone",Negatif
10,gelap dana donasi oknum thread mohon maaf thread beranta thread sih laku jera tipu liar bebas di luar,2020-08-15,"Kuningan, Indonesia",Negatif
11,thread skandal rampok bakrie pulih hendrisman hancur rinihexana jiwasraya jahat rugi negara besar lepas likalikunya kartu tanda duduk sang maestro setya novanto hasil ciduk,2020-07-18,,Negatif
12,ppatk alir dana ilegal lintas negara tara pdb global,2020-01-21,Jakarta,Positif
13,amlersbaca ayo ajar amlers modus cuci uang terjadiada orangrt yagak follow khusus amlers,2020-09-11,Jakarta-Indonesia,Negatif
14,okaaysebutkan modus cuci uang laku pidana sadar milik rekening milik uang laku transaksi ada transaksimeniru perilaku hewan senang no debat no protesrt foll sehat,2020-08-23,Jakarta-Indonesia,Negatif
15,buka alir dana legal ilegal buka alir dana dasar ya ada ilegal hmmm,2020-07-12,Indonesia,Positif
16,selamat anti korupsi dunia desember sekolah makan goreng kantin biji aku ulang korupsi foto mujenih temu uang rupiah juta kereta listrik credit megapolitannewscom,2020-12-09,Jakarta Indonesia,Negatif
17,inti ulama tuduh laku cuci uang alir dana ilegal masuk rek nya waspada tppu lawan korupsi cegah cuci uang yuk jaga negara satu republik indonesia bersih tppu,2020-12-30,,Positif
18,dana terorisme cegah jahat terorisme kembang alir dana terorisme asal hasil cuci uang banyak uang ilegal masuk ke dalam negeri cenderung tingkat instabilitas sistem uang,2020-12-15,"Bandung, Jawa Barat",Positif
19,samar bagaimanaa alir dana ilegal mudah lacak jaksa agung,2020-08-31,,Positif
20,jahat kerah putih organisir rapi butuh berani ekstra ungkap benteng kokoh tembus lindung kuasa tanya rasional jual es doger guyur investor sembunyi bisnis,2020-12-21,Indonesia,Negatif
21,jaman macemmacem coy ada sekte alir sesat bisnis ilegal cair dana diutakatik nih kejamkejam anjing orangorang manfaat polos warga cuci cuci otak mirip ajak main bareng gampang sekali anjing,2020-11-04,Choi Arin,Positif
22,mahasiswa stin ajar ungkap alir dana ilegal baca lengkap,2020-02-01,"Jakarta, Indonesia",Positif
23,alir dana ilegal lintas negara capai gdp global alir dana ilegal lin,2020-01-21,,Positif
24,jahat kerah putih rizal ramli boediono kecut april cetak uang via recovery bond tuju dewan wakil rakyat skandal vulgar bantu likuiditas bank indonesia century laku residivists,2020-04-30,,Negatif
25,deposito urus uang rupiah miliar anna suryanti hangus,2020-10-25,INDONESIA ✗,Negatif
26,alir dana ilegal lintas negara illicit financial flows capai total gdp dunia,2020-01-21,"Jakarta Capital Region, Indone",Positif
27,ilegal undang undang atur perintah ganti undang undang haram lepas uang rakyat ratus hambat teken presoden landas moral pulih corona dampak ekonomi sah ilegal dewan wakil rakyat kemarin intensitas tanggulang covid ningkat longgar akal bulus,2020-05-13,,Negatif
28,hayoloh kena pidana uang asli niat mirip jijik mirip butuh perhati sekali cari perhati,2020-11-26,rumah mak badrol,Negatif
29,refly badung berani cecar rizsl ramli awas ya cecar cecar refly rizal ramli curi rupiah triliun mei,2020-05-07,,Negatif
30,alir dana ilegal lintas negara capai gdp global,2020-01-21,Jakarta,Positif
31,peran ppatk pilih kepala daerah bersih setop alir dana gelap kontestasi pilih kepala daerah vital setop tuju ilegal ijon proyek janji konsesi lahan fasilitas privilese calon kepala daerah pihakpihak sokong,2020-10-13,Semarang,Positif
32,menteri sosial kritik anies kait bansos daerah khusus ibukota eh tangkap korupsi dana bansos portal islam,2020-12-06,Jakarta Capital Region,Negatif
33,puluh miliar rupiah dana anggar dapat dan belanja negara alir rekening pribadi jabat menteri temu kemenhan guna rekening pribadi cepat cair dana,2020-07-23,London - Jakarta,Positif
34,dana kemensos rupiah wooww,2020-12-07,Indonesia,Positif
35,sorot sumber hubung tuju ilegal kait dana kampanye sumber hasil tindak pidanaaliran dana gelap kontestasi pilih kepala daerah vital setop tuju ilegal ijon proyek janji konsesi lahan,2020-10-13,Cileungsi bogor,Positif
36,yayasan milik nya zakir terima alir dana usul nya dana beli properti negara ilegal dana giat ceramah nya anggap provokasi,2020-12-29,"Kota Tangerang, Banten",Positif
37,damping intelijen php rakyat harta emas titip di bank negeri bangun raja empire lihat gila kabar istana gila cair dana gila tanggung,2020-01-20,pulau reklamasi Jakarta Utara,Positif
38,ojk himbau kerja sama bank telusur alir dana pinjol ilegal ketemu cukong kasih wewenang ayam sayur,2020-10-16,,Positif
39,tanda buruk ekonomi negara alir uang singkat tanda krisis percaya pasar akibat krisis bi pantau kabur uang asing indonesia rupiah pek,2020-02-10,Negeri Yg Lg Berduka,Positif
40,gelper landa batam setor alir kencang aktif pensiun aparat galak jatah gelper bukti dukung dokumen alir dana upeti gelper edar luas kalang wartawan,2020-06-15,,Positif
41,mudah an polisi ering alir dana miliar alir organisasi masyarakat ilegal,2020-12-11,dirumah saja,Positif
42,pusat lapor analisis transaksi uang ppatk lapor alir dana ilegal lintas negara illicit financial flows iff capai persen hinga persen produk domestik bruto pdb global,2020-01-21,"Jakarta, Indonesia",Positif
43,alir uang jiwasraya masuk dana kampanye jokowimaruf,2020-01-08,,Positif
44,jadi pintu masuk perintah ri periksa libat negara asing dana lsmngo tunggang gelap isu sosial aman nasional jasa aktivis bayar,2020-04-26,"Jakarta Pusat, DKI Jakarta",Positif
45,bos bank negara indonesia komplot curi dana nasabah rupiah miliar simpan rekening tata ibrahim,2020-02-10,Makassar,Positif
46,ya lingkung agama salah ideal tempat dana ilegal oknum agamawan mana pengaruh samar alir dana ilegal pengaruh ikut menjadicukup ampuh tameng pasif cuci uang,2020-12-30,,Positif
47,telusur alir dana staf khusus ep libat ilegal logging bangun rumah malamg jawa timur inisial,2020-12-02,,Positif
48,menkeu uang balik smi ulang skandal century membailout century uang negara smi alas pengaruh seluruh sistem jiwasraya uang negara pakai kriminal akibat jahat kerah putih hukum ulang,2020-01-28,,Negatif
49,cuci duit uang laundering financial ekonomi industri tanah kanakkanak hairan ada kedaikedai orang masuk survive milik hidup mewah survive,2020-10-10,Kuala Lumpur City,Negatif
50,ppatk peran peluk sumber dana pilih kepala daerah setop alir dana gelap tuju ilegal janji konsesi lahan lainy wujud nya pilih kepala daerah sesuai nilai etika moral bersih sumber dana ilegal,2020-10-13,"West Sumatra, Indonesia",Positif
51,akibat undang undang no jabat uang saenak nya gontaganti angka awa san dewan wakil rakyat sanksi hukum rugi negara amburadul poor governance,2020-06-23,,Negatif
52,partai mendaoatkan uang upeti pilih kepala daerah pilih presiden situ politik uang cabub calon gubernur capress tinggal sewa partai politik ada syarat threshold sekrup peras hasil demokrasi kriminal lupa rakyat,2020-05-04,,Positif
53,bongkar jiwasraya triliun pelindo ih triliun asabri triliun darah ulama racun,2020-01-11,Jakarta,Negatif
54,sangka memiles paham alir dana investasi ilegal,2020-01-23,"Jakarta, Indonesia",Positif
55,aji mumpung pinjam international monetary fund dasar sales promotion girl international monetary fund situ jual angin sorga tarik rupiah triliun negeri undang undang no defisit max tingkat dasar ratu utang dana realokasi anggar accumulated sal,2020-03-25,,Negatif
56,dewan wakil rakyat desak bi cetak uang rizal ramli aneh ajar skandal century,2020-05-01,Jakarta Capital Region,Negatif
57,doping intervensi pakai pinjam kali doping pakai uang pinjam bunga mahal ada baik fundamental buang garam laut,2020-03-13,,Negatif
58,temu jarum ganggu moga komisi berantas korupsi senyap lapor menteri erick surat edar komisi berantas korupsi no nafas elemen komisi berantas korupsi kejar mafia bang iwan oi ya ya ya bongkar,2020-04-19,Indonesia,Negatif
59,cuci uang harga lukis tembus miliar faktor seni ada uang haram legal lacak uang uang hasil jual lukis asli,2020-06-18,Gort,Negatif
60,kasih korupsi lapor kaya mental gaji ribu pas suap juta dompet ada ribu duit haram ya jadi,2020-12-10,@MuseumMACAN,Negatif
61,ppatk komisi pemelihan umum badan awas pilih umum pelotot alir dana ilegal pilih kepala daerah,2020-08-18,Jakarta,Positif
62,ilegal unreported unregulated fishing jahat lintas negara wilayah laut negara crew abk negara hasil tangkap jual negara langgar hukum negara,2020-05-06,Indonesia,Negatif
63,gilir laku denny siregar abu janda adik armando rekan indonesia negara hukum,2020-11-12,,Negatif
64,juta dolar masuk indonesia world bank ada alir dana masuk asi development bank dopping rupiah alas kembang sektor ekonomi energi baru debt trap,2020-03-25,,Positif
65,barangkali banggar dewan wakil rakyat banyak tonton serial uang heist inspirasi el profesor salva,2020-05-11,Indonesia,Negatif
66,tingkat alir dana ilegal lintas negara dorong hadir virtual aset,2020-01-21,"Jakarta, Indonesia",Positif
