,data_clean,label
0,jalan jatibarupolisi gertak gubernur emangny polisi pmbhasan politik atur wilayahhak gubernur tn abang turun temurunpelikperlu sabar nama guna nama guna uniform resource locator,Negatif
1,cewek kayak rasa sibuk jaga rasa sakit haid panik pulang malam orang asing wajar korban takut curhat bela hujat,Negatif
2,gudeg mbarek bu hj foto google sengaja biar temanteman bayang bagi indah,Positif
3,jalan jatibarubagian wilayah tn abangpengaturan wilayah wwnang gubtng abng rumitsejak gubernur trdahuluskrg sedng dibenahiagr manfaat pihakmohon otakberpikirlah wajarkecuali otak butekya uniform resource locator,Negatif
4,sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antre ramai menit beres coba twit jamjam cc nama guna,Positif
5,sekian thread baca thread aneh sih tulis sumpah aneh sekali maki lebay bikin thread aduh jago tulis tulis beranta thread mbak,Negatif
6,sharing teman sekali di saat berat sekali teman berat ada nya banding,Positif
7,orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang pernik ada alami madu mirip orang tidur nya pakai ponco gimane madu,Negatif
8,contoh gemar sudut teriak toleran gemar tuduh gemar nilai dasar versi,Negatif
9,pulang lebaran dilema di rumah lebaran buka puasa bareng keluarga sahur,Negatif
10,min rakyat indonesia harap nya tinggal tentara nasional indonesia lihat serang kantor media ada unsur pidana hina presiden indonesia sah lucu lucu an uniform resource locator,Negatif
11,fansite ngejual hasil jepret uang nya lari idol belikan hadiah dan bagai kpopers ya fansite ada jaman kamera bening,Negatif
12,syukur doa kakek karno anakanak yatim piatu nama guna,Positif
13,sulit terima nyata ada anggap interaksi orang golong langsung golong ajar utuh klaim,Negatif
14,samanye maling sih jancuk sih anjing sih siluman monyet haha hati maling,Negatif
15,ku amuk baca komen warganet mahabenar ya lord habis pikir komen bikin leceh seksual tenggelam ada hukum laku sedih rata rata komen jahat perempuan mbaq sehat uniform resource locator,Negatif
16,sempat hadir buat aman nyaman hormat,Positif
17,sedap kali ya tidur kasur ku tidur tidur baca pakai logat mamak dahlia keluarga badak,Negatif
18,bank ramai sekali antre duduk ada di luar toko emas luber mbak nya jual swalayan antre kasir naudzubilah bahagia kayak moga oh moga rumah sakit sepi pasien sembuh pulang bahagia,Positif
19,hancur negara kelola amatir kenpak nama guna indah statementnya negara miskin koordinasi gagah an seta salah anulir marwahmu mr nama guna presiden uniform resource locator,Negatif
20,budaya cari baca ya kali diaturgaada tentu khusus pakai,Negatif
21,paruh hati iri anak duduk jalan ibunda paruh hati empat anak gundah ibunda sakit sabar ya kawan moga allah baik,Negatif
22,senyum hidup sempurna syukur tuhan ku,Positif
23,tidur tidur bangun tidur ya mirip aneh enak hati bawa istighfar bangun tidur mirip sedih mirip pikir puguh sekali coba,Negatif
24,peluk engkau erat ada rebut mu peluk ku happy anniversary sayang,Positif
25,ganti presiden calon adu program kerja koalisi ditentuin bisa kaos tagar,Negatif
26,sukses keren sekali no kualitasbhn krjaitu cita waris cu sukses tims bbpjn barakat limpah,Positif
27,sarjana kali mbokya mulut nya tinggal ajar tambah dosa sakit hati orang mending diam kasihan nya julidin orang,Negatif
28,orang nilai jilbabsyaringgak nya kadang gemas orang kelas diam eh grup whatsapp bisa nyeletuk arah sosial harassment,Negatif
29,jadwal presentasi program kerja lppm ada praktikum ketua teman sekretaris tanggung ada sekretaris deg deg an bismillah ketua by the way unggah foto ketua ya,Negatif
30,foto instagram ada lupa password instanya buka salah perintah instagram pakai password lupa,Negatif
31,drama kemarin sore hari puasa pas mandi kaget bcz datang tamu undang pas sekali woi pas azan maghrib galau hari anggap sah puasa,Negatif
32,sungguh cinta berat pisah dengan nama guna bikin bawa asa sukses lupa lapar uniform resource locator,Negatif
33,pas kirim sih kurir telepon keluh malas gerak antar alamat ketemu titik itu tidak mau susah no putar arah arah kendara jalan,Negatif
34,lewat bayang betapa sulit lalu ajar ajar ajar petik hikmah petik ke depan,Positif
35,pasang seringkali rumah nyaman sama nyaman rumah pulang tuju,Positif
36,ya sakit hati memamg sulit ada nya jenjang rumah tangga publik situasi inimedia jahat selesai lontar,Negatif
37,ponakan kelas sekolah dasar suka tonton video tutorial masak craft youtube kelas sekolah dasar baca novel marga mira pinjam sepupu,Positif
38,sejahtera keluarga emak emak tingkat sampai suami pangkat paham pangkat an tentara nasional indonesia pokok hidup bekecukupan,Positif
39,dukung doa sikap pilih upaya mempertahankannyadisini bahagia lihat sedih kebahagianku pudarseperti terima undang nikah,Negatif
40,jnejnt pakai kirim paketbeli olshop jastip kota beda pulau maksimal pakai mobil susah cari alamat bingung tidak bisa masuk kompleksgang malam bela jalan rumah paket kirim,Positif
41,gemas sekali orang anggap wajar leceh sexual verbal verbal fisik apa benar,Negatif
42,hukum main musik stad haroooom hukum dosa main kirakira cakap pena ustad di buah acara televisi intro pakai musik,Negatif
43,hebat mardani oeang mulut fakta calon presiden lagi pula koalisi partai adil sejahtera gerindra tidak yaow,Negatif
44,oh iya nya lahir anak cewek nya tahun kasih nikmat uji sih emak emak kali berat tinggal suami tinggal singel parent,Negatif
45,suka twitter soalny perempuan ji teman di sini biar omel tablengker ndada bahaya bahas monsteration bebas bahas puasa bebas whatsapp baru status stres monsteration pi blok cowok mengupdate,Positif
46,tidak erti ciwiciwi nyinyir via vallen korban susah support gurlzz,Negatif
47,libur rencana tonton jurassic world tidak jadi deh kondisi fit sekali kesal rusak rencana belanga kesal aku itu,Negatif
48,tunggu anak anteng sabar luas samudra bapak bikin anak menang hmmm ingin marah lampias,Negatif
49,ku rindu bisik mu telinga seraya moga kelak anak guna orang moga sayang orang tua mu,Positif
50,hasil sekolah sekolah mikirlah mahkamah internasional wenang adil perkara genosida dan bagai,Negatif
51,teh asumsi kacang kulit maksud hayo maksud loooo,Negatif
52,web permata profesional ada program cashback ribu token usaha listrik negara klik info masuk program paket kuota data,Negatif
53,takut mas tumpang politik balut agama bahaya masyarakat sensitif,Negatif
54,cerita siapa mirip hancur hidup pikir hati ku sedih menang tetes air mata kayak lirik lagu sayang pia palen deh wkwk,Negatif
55,puasa saur siang rasa makan saur supeerrr dupeerr ekspress menit imsak bangun yassalaaam,Negatif
